Entry,WhenEntered,Run,RunType,Target_Name,Offset_Mode,Offset_x,Offset_y,Target_RA,Target_Dec,Number_Of_Telescopes,Telescope_Pattern,Datasets_Pattern,Run_Start_Time,First_Event_Time,Duration,Events,run_id
396528,2022-08-17 07:19:07,161096,ObservationRun,ToO MGAB-V207,RA/Dec,0.87,0.0,59.623125,-54.778111,5,62,46,2020-07-19 02:58:28,2020-07-19 03:00:14,1683.0,4453566,161096
396531,2022-08-17 07:29:29,161097,ObservationRun,ToO MGAB-V207,RA/Dec,0.0,0.5,59.623125,-54.778111,5,62,46,2020-07-19 03:28:39,2020-07-19 03:29:28,1683.0,4575645,161097
396529,2022-08-17 07:26:21,161098,ObservationRun,ToO MGAB-V207,RA/Dec,-0.87,0.0,59.623125,-54.778111,5,62,46,2020-07-19 03:57:52,2020-07-19 03:58:44,951.0,2606185,161098
396558,2022-08-17 09:43:10,161131,ObservationRun,ToO MGAB-V207,RA/Dec,0.87,0.0,59.623125,-54.778111,5,62,46,2020-07-20 02:48:50,2020-07-20 02:49:41,1682.0,4360953,161131
396559,2022-08-17 10:10:16,161132,ObservationRun,ToO MGAB-V207,RA/Dec,0.0,0.5,59.623125,-54.778111,5,62,46,2020-07-20 03:18:04,2020-07-20 03:18:54,1683.0,4477828,161132
396560,2022-08-17 10:14:10,161133,ObservationRun,ToO MGAB-V207,RA/Dec,-0.87,0.0,59.623125,-54.778111,5,62,46,2020-07-20 03:47:17,2020-07-20 03:48:07,1587.0,4309901,161133
396580,2022-08-17 13:31:23,161163,ObservationRun,ToO MGAB-V207,RA/Dec,0.87,0.0,59.623125,-54.778111,5,62,46,2020-07-21 02:38:46,2020-07-21 02:40:25,1683.0,4238686,161163
396582,2022-08-17 13:41:46,161164,ObservationRun,ToO MGAB-V207,RA/Dec,0.0,0.5,59.623125,-54.778111,5,62,46,2020-07-21 03:08:50,2020-07-21 03:09:44,1682.0,4384749,161164
396585,2022-08-17 13:43:01,161165,ObservationRun,ToO MGAB-V207,RA/Dec,-0.87,0.0,59.623125,-54.778111,5,62,46,2020-07-21 03:38:09,2020-07-21 03:38:59,2043.0,5433874,161165
396600,2022-08-17 15:30:24,161195,ObservationRun,ToO MGAB-V207,RA/Dec,0.0,-0.5,59.623125,-54.778111,5,62,46,2020-07-22 02:08:42,2020-07-22 02:10:17,1683.0,3996528,161195
